Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4fV2G4YlH1k21K0g3oh9_wt,UCESRr5AcpTjz4u8Zej0f89g,2017-02-07 01:17:31 UTC,2022-01-12 15:11:33 UTC,Anime Piano Covers,,Private

Video Id,Time Added
oiIWks6Qo-E,2017-04-30 18:49:54 UTC
QYhoTASfAFA,2017-04-30 18:49:14 UTC
PgzuOXKd6Sg,2017-04-30 18:25:28 UTC
eJInGGAPZgI,2017-04-30 18:17:16 UTC
g_Jj8J0CZ0M,2017-03-31 08:29:12 UTC
skmB92IQbMs,2017-03-31 08:27:05 UTC
2pyKnhQ-Qy8,2017-03-31 01:28:08 UTC
OWSSmg9GLEM,2017-03-31 01:25:19 UTC
XH3LGDjz08E,2017-03-31 01:11:57 UTC
VG5uO6B1S3E,2017-03-31 00:38:17 UTC
wbvG5_WK5yU,2017-03-13 01:35:41 UTC
TmJ2QRGghtY,2017-03-12 23:32:47 UTC
Lj6QL-NNhto,2017-03-12 22:03:13 UTC
L0LcFV33Shs,2017-02-26 00:36:22 UTC
FTrJ-J_lsr0,2017-02-14 03:40:44 UTC
oE3FSkDmCcU,2017-02-07 01:38:34 UTC
TwyR_o-8Rbc,2017-02-07 01:31:33 UTC
aqLgV3sRx2Y,2017-02-07 01:26:38 UTC
zsVAbS8xmaU,2017-02-07 01:24:20 UTC
MdOAr_4FJvc,2017-02-07 01:23:14 UTC
7_qhEQbDE2E,2017-02-07 01:23:00 UTC
wmTryT9A7Ek,2017-02-07 01:22:43 UTC
gB2N-9VuBjQ,2017-02-07 01:22:33 UTC
JRQbVNzmCK0,2017-02-07 01:21:40 UTC
sEQf5lcnj_o,2017-02-07 01:21:32 UTC
GlfQDJnfgJE,2017-02-07 01:18:08 UTC
rExcQ5nm_yU,2017-02-07 01:17:41 UTC
NUdlh5NYx2o,2017-02-07 01:17:31 UTC

