Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4cdV91UqohsqSRm_b2DnGO0,UCESRr5AcpTjz4u8Zej0f89g,2015-05-31 09:09:48 UTC,2020-06-29 18:12:57 UTC,Hackz,,Public

Video Id,Time Added
dE9o-XwtU10,2015-05-31 09:09:48 UTC
kWwg9A9akJA,2015-06-03 01:04:39 UTC
 -hd7XG-b6uk,2015-06-03 06:36:16 UTC
yGIHjTmTFfA,2015-06-03 07:03:48 UTC
n2D1o-aM-2s,2015-06-18 17:42:57 UTC
yT26Vpptl-8,2015-06-23 06:22:54 UTC
9JT8OV_iyiE,2015-06-24 15:35:38 UTC
C78ND4oqJsQ,2015-07-01 12:50:14 UTC
Z0x_O75tRAU,2015-07-04 07:12:50 UTC

