Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4f_2NuoHf8jNrMi1_S_3y-P,UCESRr5AcpTjz4u8Zej0f89g,2021-08-31 14:18:50 UTC,2022-06-09 03:13:27 UTC,Rewatches,,Private

Video Id,Time Added
PHe0bXAIuk0,2021-08-31 14:18:50 UTC
u4taz6dfPQc,2021-09-05 17:59:27 UTC
y5x-KjBME_E,2022-02-21 17:16:59 UTC
Gzj7zP5BXdc,2022-02-21 17:17:56 UTC
Urd0IK0WEWU,2022-05-16 04:07:51 UTC
PfH8IG7Awk0,2022-05-16 18:59:32 UTC
XSnnHdQXYE8,2022-06-02 03:10:56 UTC
mVyM47hOdLE,2022-06-02 04:21:14 UTC
mMBzfUj5zsg,2022-06-09 03:13:27 UTC

