Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4cB6kEna8T62OelThu6UY0t,UCESRr5AcpTjz4u8Zej0f89g,2017-09-13 14:50:16 UTC,2022-01-02 22:56:30 UTC,Study Music,,Private

Video Id,Time Added
J-Gayf0OTRg,2017-09-24 00:04:02 UTC
3jWRrafhO7M,2017-09-26 05:05:05 UTC
4ZW6Eme9eVY,2018-03-09 16:40:53 UTC
yY7iGa4t9-I,2018-04-25 03:12:44 UTC
WI4-HUn8dFc,2018-10-24 02:37:02 UTC
JV_PfGcPewY,2019-01-27 20:10:46 UTC
H9yfuYDoGf4,2019-02-01 02:04:20 UTC
jgpJVI3tDbY,2020-11-22 21:25:03 UTC
68-rToI63FM,2021-02-11 21:55:14 UTC
cGYyOY4XaFs,2022-01-02 22:56:30 UTC

