Channel Id,Channel Url,Channel Title
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-No2ITxJsNt50oJQ3fLmUA,http://www.youtube.com/channel/UC-No2ITxJsNt50oJQ3fLmUA,The Fantasy Footballers
UC-uhvujip5deVcEtLxnW8qg,http://www.youtube.com/channel/UC-uhvujip5deVcEtLxnW8qg,TLDR News Global
UC0QHFnXN9T81P3igHoLWdPw,http://www.youtube.com/channel/UC0QHFnXN9T81P3igHoLWdPw,FivePoints Vids
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC1E1SVcVyU3ntWMSQEp38Yw,http://www.youtube.com/channel/UC1E1SVcVyU3ntWMSQEp38Yw,The Prof G Show – Scott Galloway
UC1JPEwMqLaI96qRUKNp3_ow,http://www.youtube.com/channel/UC1JPEwMqLaI96qRUKNp3_ow,SquishyMuffinz
UC22BdTgxefuvUivrjesETjg,http://www.youtube.com/channel/UC22BdTgxefuvUivrjesETjg,History Matters
UC2Gu2D6VkeVYwXA8wnLvSwg,http://www.youtube.com/channel/UC2Gu2D6VkeVYwXA8wnLvSwg,Ayrun
UC2yRbSAO8xrlpTpvnaS2zRg,http://www.youtube.com/channel/UC2yRbSAO8xrlpTpvnaS2zRg,TheManaSource
UC31lhxGZwVLcchmL0fwWBYg,http://www.youtube.com/channel/UC31lhxGZwVLcchmL0fwWBYg,DIY Tryin
UC34DbNyD_0t8tnOc5V38Big,http://www.youtube.com/channel/UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG
UC4-AGCUwX7C-D4BsBook9fQ,http://www.youtube.com/channel/UC4-AGCUwX7C-D4BsBook9fQ,Young America's Foundation
UC45a_j76kNDwJvbc2ufOkJg,http://www.youtube.com/channel/UC45a_j76kNDwJvbc2ufOkJg,Pixelated Apollo
UC46lOhs-EHKgvjXSjz1r9Ig,http://www.youtube.com/channel/UC46lOhs-EHKgvjXSjz1r9Ig,Thomas SowellTV
UC4k8bDyIedGSkb7Zo5eOHgQ,http://www.youtube.com/channel/UC4k8bDyIedGSkb7Zo5eOHgQ,Rocket League - Topic
UC510QYlOlKNyhy_zdQxnGYw,http://www.youtube.com/channel/UC510QYlOlKNyhy_zdQxnGYw,Simple History
UC5Dw9TFdbPJoTDMSiJdIQTA,http://www.youtube.com/channel/UC5Dw9TFdbPJoTDMSiJdIQTA,Whatifalthist
UC5kS0l76kC0xOzMPtOmSFGw,http://www.youtube.com/channel/UC5kS0l76kC0xOzMPtOmSFGw,Chess.com
UC6BCtZNlu5D0OuO2_Va6n7g,http://www.youtube.com/channel/UC6BCtZNlu5D0OuO2_Va6n7g,Space Coconut
UC6hOVYvNn79Sl1Fc1vx2mYA,http://www.youtube.com/channel/UC6hOVYvNn79Sl1Fc1vx2mYA,John Bartholomew
UC7cs8q-gJRlGwj4A8OmCmXg,http://www.youtube.com/channel/UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst
UC7eBNeDW1GQf2NJQ6G6gAxw,http://www.youtube.com/channel/UC7eBNeDW1GQf2NJQ6G6gAxw,The Ramsey Show - Highlights
UC7o-UFkoAPCoKxpKOfrs4zQ,http://www.youtube.com/channel/UC7o-UFkoAPCoKxpKOfrs4zQ,UsefulCharts
